n,topology,strategy,recall,reduction,centrality_corr,edges_gt,edges_ris
100,barabasi_albert,logarithmic,0.35368421052631577,0.621010101010101,0.8254501739001252,475,1876
100,barabasi_albert,logarithmic,0.3452631578947368,0.6226262626262626,0.8195183941979952,475,1868
100,barabasi_albert,logarithmic,0.3831578947368421,0.6258585858585859,0.859066345842858,475,1852
100,barabasi_albert,logarithmic,0.3936842105263158,0.6218181818181818,0.884459810601937,475,1872
100,barabasi_albert,logarithmic,0.38526315789473686,0.6272727272727272,0.8412822051021943,475,1845
100,barabasi_albert,logarithmic,0.3705263157894737,0.6244444444444445,0.8079248296248366,475,1859
100,barabasi_albert,logarithmic,0.33473684210526317,0.6250505050505051,0.8906597049679322,475,1856
100,watts_strogatz,heuristic,0.754,0.23636363636363633,0.29750602261112025,500,3780
100,watts_strogatz,heuristic,0.728,0.23575757575757572,0.4724768572391409,500,3783
100,watts_strogatz,heuristic,0.736,0.24828282828282833,0.4751619163081243,500,3721
100,watts_strogatz,heuristic,0.752,0.24505050505050507,0.36886086282391123,500,3737
100,watts_strogatz,heuristic,0.774,0.23212121212121217,0.4151826621679645,500,3801
100,watts_strogatz,heuristic,0.784,0.24363636363636365,0.4186607204144266,500,3744
100,watts_strogatz,heuristic,0.772,0.23939393939393938,0.5380462053310882,500,3765
100,watts_strogatz,heuristic,0.772,0.23959595959595958,0.583003665093211,500,3764
100,watts_strogatz,heuristic,0.724,0.23959595959595958,0.2556377843037296,500,3764
100,watts_strogatz,heuristic,0.782,0.2339393939393939,0.3673316399837254,500,3792
100,watts_strogatz,heuristic,0.764,0.2408080808080808,0.3493661493299021,500,3758
100,watts_strogatz,heuristic,0.736,0.2404040404040404,0.48908955434341295,500,3760
100,watts_strogatz,heuristic,0.726,0.24505050505050507,0.4077979268097407,500,3737
100,watts_strogatz,heuristic,0.766,0.23878787878787877,0.5076315500202055,500,3768
100,watts_strogatz,heuristic,0.76,0.23636363636363633,0.38071556492073305,500,3780
100,watts_strogatz,heuristic,0.722,0.24404040404040406,0.36819928074872654,500,3742
100,watts_strogatz,heuristic,0.74,0.24141414141414141,0.5470167438441557,500,3755
100,watts_strogatz,heuristic,0.808,0.24242424242424243,0.4964397739650928,500,3750
100,watts_strogatz,heuristic,0.796,0.24444444444444446,0.4380326552107478,500,3740
100,watts_strogatz,heuristic,0.76,0.23717171717171714,0.4544381156430617,500,3776
100,watts_strogatz,heuristic,0.78,0.23939393939393938,0.36261287241091567,500,3765
100,watts_strogatz,heuristic,0.774,0.23535353535353531,0.5162229016138346,500,3785
100,watts_strogatz,heuristic,0.78,0.24767676767676772,0.4049678387313207,500,3724
100,watts_strogatz,heuristic,0.756,0.24141414141414141,0.46966164828709694,500,3755
100,watts_strogatz,heuristic,0.724,0.23858585858585857,0.5212216937829224,500,3769
100,watts_strogatz,heuristic,0.744,0.2408080808080808,0.3644883341822776,500,3758
100,watts_strogatz,heuristic,0.76,0.23797979797979796,0.5926497042844012,500,3772
100,watts_strogatz,heuristic,0.72,0.2402020202020202,0.3900022691107124,500,3761
100,watts_strogatz,heuristic,0.786,0.24242424242424243,0.43787100346990326,500,3750
100,watts_strogatz,heuristic,0.74,0.23717171717171714,0.5551273816533691,500,3776
100,watts_strogatz,logarithmic,0.364,0.6268686868686868,0.15402905167760042,500,1847
100,watts_strogatz,logarithmic,0.384,0.6254545454545455,0.15917465169195186,500,1854
100,watts_strogatz,logarithmic,0.366,0.6242424242424243,0.16368051833290193,500,1860
100,watts_strogatz,logarithmic,0.382,0.6258585858585859,0.2845000433181389,500,1852
100,watts_strogatz,logarithmic,0.34,0.6224242424242424,0.16198477414681153,500,1869
100,watts_strogatz,logarithmic,0.344,0.6236363636363637,0.11906179391449635,500,1863
100,watts_strogatz,logarithmic,0.39,0.6212121212121212,0.22720347223994686,500,1875
100,watts_strogatz,logarithmic,0.334,0.6246464646464647,0.23270247879169223,500,1858
100,watts_strogatz,logarithmic,0.374,0.6258585858585859,0.24971242173231528,500,1852
100,watts_strogatz,logarithmic,0.428,0.622020202020202,0.25615585339257096,500,1871
100,watts_strogatz,logarithmic,0.348,0.6278787878787879,0.2928798229676055,500,1842
100,watts_strogatz,logarithmic,0.386,0.6268686868686868,0.34989586680403933,500,1847
100,watts_strogatz,logarithmic,0.354,0.6222222222222222,0.2304169762919029,500,1870
100,watts_strogatz,logarithmic,0.382,0.6264646464646464,0.16606805534831334,500,1849
100,watts_strogatz,logarithmic,0.342,0.6222222222222222,0.1264552976550785,500,1870
100,watts_strogatz,logarithmic,0.366,0.62,0.30717778747085417,500,1881
100,watts_strogatz,logarithmic,0.33,0.6222222222222222,0.3479201336050377,500,1870
100,watts_strogatz,logarithmic,0.396,0.6254545454545455,0.3497332336949958,500,1854
100,watts_strogatz,logarithmic,0.356,0.6232323232323232,0.043996973112371246,500,1865
100,watts_strogatz,logarithmic,0.398,0.623030303030303,0.12617236632157255,500,1866
100,watts_strogatz,logarithmic,0.406,0.6238383838383839,0.29510349246770096,500,1862
100,watts_strogatz,logarithmic,0.392,0.6244444444444445,0.2681979281639884,500,1859
100,watts_strogatz,logarithmic,0.35,0.6268686868686868,0.0969447635309145,500,1847
100,watts_strogatz,logarithmic,0.366,0.6258585858585859,0.21910983942563894,500,1852
100,watts_strogatz,logarithmic,0.38,0.6244444444444445,0.23426064283290907,500,1859
100,watts_strogatz,logarithmic,0.392,0.6224242424242424,0.2264855506436056,500,1869
100,watts_strogatz,logarithmic,0.388,0.6206060606060606,0.41873149007826893,500,1878
100,watts_strogatz,logarithmic,0.388,0.6206060606060606,0.1542823605924835,500,1878
100,watts_strogatz,logarithmic,0.374,0.6236363636363637,0.2836197578852467,500,1863
100,watts_strogatz,logarithmic,0.346,0.6256565656565656,0.11345148711870866,500,1853
100,stochastic_block,heuristic,0.7413793103448276,0.23818181818181816,0.8122841532025298,116,3771
100,stochastic_block,heuristic,0.7923076923076923,0.2347474747474747,0.8878410261321862,130,3788
100,stochastic_block,heuristic,0.8031496062992126,0.23191919191919197,0.8654496526610689,127,3802
100,stochastic_block,heuristic,0.8102189781021898,0.24484848484848487,0.8868247597674379,137,3738
100,stochastic_block,heuristic,0.75,0.24181818181818182,0.8409277915882152,116,3753
100,stochastic_block,heuristic,0.7478260869565218,0.23939393939393938,0.8975616939746864,115,3765
100,stochastic_block,heuristic,0.8412698412698413,0.24181818181818182,0.9018512038198774,126,3753
100,stochastic_block,heuristic,0.7786259541984732,0.24404040404040406,0.8648372943266531,131,3742
100,stochastic_block,heuristic,0.6875,0.24242424242424243,0.7934623102774919,112,3750
100,stochastic_block,heuristic,0.7983193277310925,0.2408080808080808,0.910491811290394,119,3758
100,stochastic_block,heuristic,0.7593984962406015,0.23656565656565653,0.8651229372711564,133,3779
100,stochastic_block,heuristic,0.7557251908396947,0.23636363636363633,0.8548612099152157,131,3780
100,stochastic_block,heuristic,0.8070175438596491,0.23939393939393938,0.9182741959014135,114,3765
100,stochastic_block,heuristic,0.7480314960629921,0.24202020202020202,0.8517986413180112,127,3752
100,stochastic_block,heuristic,0.7299270072992701,0.241010101010101,0.8542610881814595,137,3757
100,stochastic_block,heuristic,0.7922077922077922,0.2397979797979798,0.8664584638492474,154,3763
100,stochastic_block,heuristic,0.7007874015748031,0.23858585858585857,0.7887617503971507,127,3769
100,stochastic_block,heuristic,0.7913043478260869,0.2406060606060606,0.8923302943802935,115,3759
100,stochastic_block,heuristic,0.7122302158273381,0.241010101010101,0.8533794176436013,139,3757
100,stochastic_block,heuristic,0.8088235294117647,0.24161616161616162,0.889379061103195,136,3754
100,stochastic_block,heuristic,0.7217391304347827,0.2341414141414141,0.8567970471779391,115,3791
100,stochastic_block,heuristic,0.7606837606837606,0.24181818181818182,0.8539850253586582,117,3753
100,stochastic_block,heuristic,0.7837837837837838,0.24303030303030304,0.866272022365305,111,3747
100,stochastic_block,heuristic,0.7704918032786885,0.24404040404040406,0.8647538645261135,122,3742
100,stochastic_block,heuristic,0.7661290322580645,0.24404040404040406,0.858176568052427,124,3742
100,stochastic_block,heuristic,0.7758620689655172,0.24282828282828284,0.8545362324578152,116,3748
100,stochastic_block,heuristic,0.7652173913043478,0.2282828282828283,0.8130597881016344,115,3820
100,stochastic_block,heuristic,0.7474747474747475,0.24363636363636365,0.8581779600866339,99,3744
100,stochastic_block,heuristic,0.688,0.24424242424242426,0.862339022797202,125,3741
100,stochastic_block,heuristic,0.6934306569343066,0.2341414141414141,0.8575958268797541,137,3791
100,stochastic_block,logarithmic,0.34782608695652173,0.626060606060606,0.6060601099242592,138,1851
100,stochastic_block,logarithmic,0.3841059602649007,0.6250505050505051,0.59750740122767,151,1856
100,stochastic_block,logarithmic,0.3873239436619718,0.6226262626262626,0.3509727000734069,142,1868
100,stochastic_block,logarithmic,0.3963963963963964,0.6236363636363637,0.5794220681265345,111,1863
100,stochastic_block,logarithmic,0.37037037037037035,0.622020202020202,0.6061281253562035,135,1871
100,stochastic_block,logarithmic,0.375,0.6222222222222222,0.6461959599553635,128,1870
100,stochastic_block,logarithmic,0.375,0.6252525252525252,0.5297959490642259,128,1855
100,stochastic_block,logarithmic,0.3382352941176471,0.6244444444444445,0.608488177457614,136,1859
100,stochastic_block,logarithmic,0.4380165289256198,0.6212121212121212,0.6123231893535108,121,1875
100,stochastic_block,logarithmic,0.38461538461538464,0.6266666666666667,0.6450511454045295,130,1848
100,stochastic_block,logarithmic,0.4672131147540984,0.6238383838383839,0.6036964738946299,122,1862
100,stochastic_block,logarithmic,0.3509933774834437,0.6222222222222222,0.63460865532039,151,1870
100,stochastic_block,logarithmic,0.3333333333333333,0.6240404040404041,0.611082964374931,144,1861
100,stochastic_block,logarithmic,0.36792452830188677,0.6216161616161616,0.45916979739436065,106,1873
100,stochastic_block,logarithmic,0.296,0.621010101010101,0.5942437057187961,125,1876
100,stochastic_block,logarithmic,0.3700787401574803,0.6218181818181818,0.49714842621434197,127,1872
100,stochastic_block,logarithmic,0.3813559322033898,0.6264646464646464,0.6674654619732705,118,1849
100,stochastic_block,logarithmic,0.4117647058823529,0.6204040404040404,0.5642587789211848,136,1879
100,stochastic_block,logarithmic,0.32575757575757575,0.6238383838383839,0.698248317350427,132,1862
100,stochastic_block,logarithmic,0.38524590163934425,0.6258585858585859,0.6466502182994278,122,1852
100,stochastic_block,logarithmic,0.3902439024390244,0.6216161616161616,0.6877794904110298,123,1873
100,stochastic_block,logarithmic,0.37719298245614036,0.6250505050505051,0.5894907587516838,114,1856
100,stochastic_block,logarithmic,0.40186915887850466,0.6218181818181818,0.6028077426423119,107,1872
100,stochastic_block,logarithmic,0.352,0.6268686868686868,0.6326885093834194,125,1847
100,stochastic_block,logarithmic,0.42718446601941745,0.6254545454545455,0.6585924737798118,103,1854
100,stochastic_block,logarithmic,0.33070866141732286,0.6214141414141414,0.32345393606149375,127,1874
100,stochastic_block,logarithmic,0.4090909090909091,0.6254545454545455,0.47919973859389264,110,1854
100,stochastic_block,logarithmic,0.37719298245614036,0.6244444444444445,0.729874984286242,114,1859
100,stochastic_block,logarithmic,0.28859060402684567,0.6284848484848484,0.5328526342972624,149,1839
100,stochastic_block,logarithmic,0.35964912280701755,0.6244444444444445,0.43872294751560187,114,1859
100,powerlaw_cluster,heuristic,0.7742616033755274,0.23939393939393938,0.9701447679630049,474,3765
100,powerlaw_cluster,heuristic,0.7705263157894737,0.23858585858585857,0.9737181650549441,475,3769
100,powerlaw_cluster,heuristic,0.8037974683544303,0.2351515151515151,0.9749294104437612,474,3786
100,powerlaw_cluster,heuristic,0.7642105263157895,0.24303030303030304,0.9726532311775329,475,3747
100,powerlaw_cluster,heuristic,0.7851063829787234,0.2402020202020202,0.979721016802897,470,3761
100,powerlaw_cluster,heuristic,0.7659574468085106,0.24363636363636365,0.9733147559761063,470,3744
100,powerlaw_cluster,heuristic,0.728421052631579,0.23959595959595958,0.9645953888206379,475,3764
100,powerlaw_cluster,heuristic,0.7685774946921444,0.24323232323232324,0.9680823113654029,471,3746
100,powerlaw_cluster,heuristic,0.777542372881356,0.2412121212121212,0.9819202100958038,472,3756
100,powerlaw_cluster,heuristic,0.773784355179704,0.23656565656565653,0.972397091220508,473,3779
100,powerlaw_cluster,heuristic,0.7643312101910829,0.23878787878787877,0.9694117230465044,471,3768
100,powerlaw_cluster,heuristic,0.7568710359408034,0.24282828282828284,0.9701858654963775,473,3748
100,powerlaw_cluster,heuristic,0.79957805907173,0.24282828282828284,0.9774356689872741,474,3748
100,powerlaw_cluster,heuristic,0.7716701902748414,0.23818181818181816,0.9622921956886508,473,3771
100,powerlaw_cluster,heuristic,0.758985200845666,0.24404040404040406,0.9659760678014295,473,3742
100,powerlaw_cluster,heuristic,0.7568710359408034,0.23616161616161613,0.970028588393135,473,3781
100,powerlaw_cluster,heuristic,0.7787234042553192,0.2402020202020202,0.9731144728473565,470,3761
100,powerlaw_cluster,heuristic,0.7409766454352441,0.2408080808080808,0.9667773896730786,471,3758
100,powerlaw_cluster,heuristic,0.7768421052631579,0.24444444444444446,0.985710199715114,475,3740
100,powerlaw_cluster,heuristic,0.7351694915254238,0.24505050505050507,0.9574580158083197,472,3737
100,powerlaw_cluster,heuristic,0.7584745762711864,0.24,0.9769821557551844,472,3762
100,powerlaw_cluster,heuristic,0.7537154989384289,0.2468686868686869,0.9730164570129262,471,3728
100,powerlaw_cluster,heuristic,0.7679324894514767,0.2470707070707071,0.9697487082925106,474,3727
100,powerlaw_cluster,heuristic,0.7552742616033755,0.2397979797979798,0.9602737301858386,474,3763
100,powerlaw_cluster,heuristic,0.7644539614561028,0.24424242424242426,0.9584620984586162,467,3741
100,powerlaw_cluster,heuristic,0.7326315789473684,0.23838383838383836,0.9652429241190392,475,3770
100,powerlaw_cluster,heuristic,0.7685774946921444,0.23858585858585857,0.9765566262969696,471,3769
100,powerlaw_cluster,heuristic,0.7873684210526316,0.2412121212121212,0.9664229212506977,475,3756
100,powerlaw_cluster,heuristic,0.7573839662447257,0.2349494949494949,0.9680040245194826,474,3787
100,powerlaw_cluster,heuristic,0.7705263157894737,0.23959595959595958,0.9777976448949393,475,3764
100,powerlaw_cluster,logarithmic,0.3594080338266385,0.6216161616161616,0.8793720124362401,473,1873
100,powerlaw_cluster,logarithmic,0.3657505285412262,0.6246464646464647,0.8960495253688402,473,1858
100,powerlaw_cluster,logarithmic,0.35306553911205074,0.6218181818181818,0.8107450106110605,473,1872
100,powerlaw_cluster,logarithmic,0.3726315789473684,0.622020202020202,0.8424847810520126,475,1871
100,powerlaw_cluster,logarithmic,0.39957716701902746,0.6244444444444445,0.8700790408219589,473,1859
100,powerlaw_cluster,logarithmic,0.33192389006342493,0.6202020202020202,0.828693703361875,473,1880
100,powerlaw_cluster,logarithmic,0.3987341772151899,0.6234343434343435,0.8785996247440719,474,1864
100,powerlaw_cluster,logarithmic,0.39029535864978904,0.6276767676767676,0.8049140734272247,474,1843
100,powerlaw_cluster,logarithmic,0.3580508474576271,0.622020202020202,0.8806776254937962,472,1871
100,powerlaw_cluster,logarithmic,0.3755274261603376,0.6266666666666667,0.8801561542545541,474,1848
100,powerlaw_cluster,logarithmic,0.36909871244635195,0.62989898989899,0.82170839045325,466,1832
100,powerlaw_cluster,logarithmic,0.37130801687763715,0.6246464646464647,0.855447723139784,474,1858
100,powerlaw_cluster,logarithmic,0.3726315789473684,0.6216161616161616,0.8424511802964908,475,1873
100,powerlaw_cluster,logarithmic,0.37130801687763715,0.6248484848484849,0.8963959861112472,474,1857
100,powerlaw_cluster,logarithmic,0.41226215644820297,0.623030303030303,0.8616946152172971,473,1866
100,powerlaw_cluster,logarithmic,0.3924050632911392,0.6236363636363637,0.8938658025019792,474,1863
100,powerlaw_cluster,logarithmic,0.35443037974683544,0.6258585858585859,0.8948210890517654,474,1852
100,powerlaw_cluster,logarithmic,0.3644067796610169,0.6238383838383839,0.8427445840882125,472,1862
100,powerlaw_cluster,logarithmic,0.38054968287526425,0.6264646464646464,0.8878599456092693,473,1849
100,powerlaw_cluster,logarithmic,0.36210526315789476,0.6262626262626263,0.849028307017442,475,1850
100,powerlaw_cluster,logarithmic,0.3594080338266385,0.6226262626262626,0.8813174211878357,473,1868
100,powerlaw_cluster,logarithmic,0.3594080338266385,0.6270707070707071,0.8470594349446785,473,1846
100,powerlaw_cluster,logarithmic,0.37684210526315787,0.6254545454545455,0.8697039050989529,475,1854
100,powerlaw_cluster,logarithmic,0.37420718816067655,0.6248484848484849,0.8627920272274464,473,1857
100,powerlaw_cluster,logarithmic,0.3877118644067797,0.6272727272727272,0.894511502558337,472,1845
100,powerlaw_cluster,logarithmic,0.3333333333333333,0.6262626262626263,0.8489236285910449,474,1850
100,powerlaw_cluster,logarithmic,0.35443037974683544,0.6238383838383839,0.8487048330637551,474,1862
100,powerlaw_cluster,logarithmic,0.3831578947368421,0.6222222222222222,0.8224820828266863,475,1870
100,powerlaw_cluster,logarithmic,0.3673036093418259,0.6232323232323232,0.8434732725666876,471,1865
100,powerlaw_cluster,logarithmic,0.39662447257383965,0.6234343434343435,0.8872626301559263,474,1864
